rating,genre,score,votes,budget,gross,runtime,release_country,release_date,score_bin
6,6,2.127015778718504,6.111868468087693,0.1588980302349487,0.07201500901499677,2.1814874542628098,36,1980-06-13,2
6,1,-0.5342488802974549,0.07359061816321,-0.4860170041014632,0.20256182277756415,-0.09268610946949428,36,1980-07-02,0
4,0,2.434084777835729,8.02422328598721,0.11442113131519616,5.4833362752038335,0.9902536827839837,36,1980-06-20,2
4,4,1.4105214474449765,1.166364799820077,-0.5304939030212157,0.47347608462724017,-0.9590379432722766,36,1980-07-02,2
6,4,1.0010961152886748,0.3748040143891413,-0.41930165572183437,-0.006751683914877858,-0.4175680471455377,36,1980-07-25,2
6,10,0.07988911793699756,0.4798784549330708,-0.6617007548344858,-0.00776201113655216,-0.5800090159835594,36,1980-05-09,1
6,0,1.6152341135231274,0.9352010306234321,0.5147132215929691,0.8234157249352466,1.4775765892980488,36,1980-06-20,2
6,3,1.9223031126403523,1.929905734439298,0.11442113131519616,-0.1878416523708127,1.2609886308473532,36,1980-12-19,2
4,0,0.4893144500932983,0.3257692754686408,1.7155894924262878,0.7458410778266653,1.1526946516220054,36,1981-06-19,1
6,3,0.6940271161714491,-0.3116823304978649,-0.24139406004282418,-0.2716169772801265,-0.3092740679201899,36,1980-05-16,2
4,0,-0.22717988118022914,-0.25564262887443584,-0.019009565444061478,0.3328873277117003,0.5570777658825925,36,1980-12-17,1
4,1,1.0010961152886748,-0.0034639715690049835,-0.4637785546415869,-0.11483533222682497,0.1780488385938752,36,1984-10-26,2
4,1,-1.0460305454928316,-0.17158307643929221,0.20337492915470123,0.1031174561850476,0.4487837866572447,36,1980-12-12,0
6,6,1.4105214474449765,-0.038488785083648155,-0.41930165572183437,0.15756240137601019,0.9902536827839837,36,1980-09-19,2
6,5,0.7963834492105241,-0.12254833751879177,-0.3970632062619581,-0.09427245370886692,-0.09268610946949428,36,1980-07-25,2
4,6,0.8987397822495999,-0.19259796454807812,-0.45933086474961166,-0.3386350523115007,-0.14683309908216818,36,1980-10-03,2
6,6,0.28460178401514746,-0.2346277407656499,-0.6861630492403497,-0.21206490358496913,1.5317235789107226,36,1980-05-16,1
4,4,0.5916707831323742,-0.17858803914222085,-0.24139406004282418,0.6920443992307681,0.1780488385938752,36,1980-12-19,2
6,10,0.4893144500932983,0.08059558086613863,-0.6416861503205971,-0.20935632624225678,-0.9048909536596028,36,1980-02-08,1
6,4,0.4893144500932983,-0.19960292725100676,-0.6861630492403497,0.6700116825349693,0.28634281781922305,36,1980-12-12,1
6,5,0.1822454509760725,-0.24163270346857854,-0.19691716112307164,-0.2273537359080212,-0.20098008869484207,36,1980-02-15,1
6,1,0.4893144500932983,-0.2836624796861504,1.2708205032287623,-0.40718918417046474,6.134217695988005,36,1981-04-24,1
4,0,0.38695811705422334,-0.2276227780627213,-0.1524402622033191,-0.26222752955333595,-0.14683309908216818,36,1980-08-01,1
4,8,-1.0460305454928316,-0.29767240509200765,0.20337492915470123,-0.19488811842001136,-0.5258620263708855,36,1980-08-08,0
4,6,0.07988911793699756,-0.2836624796861504,-0.6861630492403497,0.07112866143058753,1.423429599685375,36,1980-06-06,1
6,10,0.5916707831323742,-0.1505681883305063,-0.6861630492403497,-0.22692018160534855,-0.20098008869484207,36,1980-12-25,2
6,4,0.1822454509760725,-0.3460066477422152,-0.6861630492403497,-0.06754217741005687,-0.5258620263708855,36,1980-03-21,1
4,0,-1.3530995446100573,-0.35301161044514384,0.915005311870742,-0.3151934410612955,0.5029307762699187,36,1980-08-01,0
6,5,0.8987397822495999,-0.26264759157736445,-0.28587095896257675,-0.036756958649231265,1.3692826100727011,36,1980-06-20,2
6,5,-0.12482354814115326,-0.2276227780627213,-0.4726739344255374,-0.1950962231637845,0.6112247554952664,36,1980-02-01,1
4,4,0.7963834492105241,-0.31938778947108637,-0.6861630492403497,-0.1979674453157674,-0.20098008869484207,36,1980-09-26,2
6,10,-0.9436742124537556,-0.2696525542802931,-0.6861630492403497,-0.2826180281403906,-0.7424499848215811,36,1980-07-18,0
4,0,-1.0460305454928316,-0.2766575169832217,-0.6861630492403497,0.28272812665603464,-0.3092740679201899,36,1980-08-15,0
4,6,-0.22717988118022914,-0.37750096005458234,-0.45933086474961166,-0.43967307153040763,-0.4717150367582116,36,1981-04-24,1
4,4,0.38695811705422334,-0.3179867969305007,-0.6861630492403497,0.038945836010913996,-0.20098008869484207,36,1980-12-19,1
6,4,-0.12482354814115326,-0.21361285265686403,-0.24139406004282418,0.32363680369463604,0.1780488385938752,36,1980-10-10,1
6,4,-0.02246721510207831,-0.3516106179045581,-0.5082554535613395,-0.335436965741889,-0.796596974434255,36,1980-05-30,1
6,4,-0.32953621421930407,-0.30467736779493626,-0.552732352481092,-0.3757136307550292,-0.25512707830751596,36,1980-10-24,0
4,6,-0.43189254725837906,-0.3537121067154367,-0.6861630492403497,-0.14692360362575255,0.5029307762699187,36,1980-12-19,0
4,3,1.2058087813668257,-0.26264759157736445,-0.6861630492403497,0.2942931097658164,0.9902536827839837,36,1980-03-07,2
4,7,-0.02246721510207831,-0.34180367012045804,-0.6861630492403497,-0.3904998709049152,-1.1756259017229722,36,1981-10-09,1
4,6,1.6152341135231274,-0.290667442389079,-0.6861630492403497,-0.3151934410612955,0.06975485936852742,1,1980-07-03,2
6,0,0.7963834492105241,-0.31868729320079353,-0.5304939030212157,-0.36777115908785574,1.3692826100727011,36,1980-06-27,2
6,3,0.28460178401514746,-0.30467736779493626,-0.6861630492403497,-0.37222584722877383,-0.3634210575328638,36,1980-04-25,1
6,10,-1.5578122106882082,-0.36772203212129395,-0.6861630492403497,-0.3528906732694927,-0.25512707830751596,36,1980-10-31,0
6,4,-0.22717988118022914,-0.29767240509200765,-0.6861630492403497,0.013388674906602234,-0.3634210575328638,36,1980-07-18,1
6,0,-1.0460305454928316,-0.3544126029857296,0.2923287269942063,-0.2724799341424225,0.1780488385938752,36,1980-06-13,0
6,10,-1.762524876766359,-0.3544126029857296,-0.6728199795644239,-0.3151934410612955,-1.28391988094832,36,1980-11-07,0
4,0,-1.2507432115709824,-0.36001657314807245,-0.019009565444061478,-0.28409592752754725,-0.6341560055962333,36,1980-05-09,0
4,3,2.024659445679429,-0.2766575169832217,0.8705284129509894,-0.3151934410612955,3.643456173805005,20,1981-05-16,2
4,4,1.0010961152886748,-0.2276227780627213,-0.24139406004282418,-0.3311530386824625,-0.9048909536596028,36,1980-09-26,2
6,4,0.4893144500932983,-0.3502096253639724,-0.3748247568020818,-0.3981041682337395,-0.5800090159835594,36,1980-09-19,1
4,3,-2.17195020892266,-0.3558135955263153,0.20337492915470123,-0.3151934410612955,0.9902536827839837,36,1980-06-20,0
4,0,-0.22717988118022914,-0.30467736779493626,-0.3970632062619581,-0.1783352400208748,0.5570777658825925,36,1980-06-11,1
6,4,0.6940271161714491,-0.3347987074175294,-0.6861630492403497,-0.44542494260373733,1.8024585269740923,36,1981-04-08,2
4,4,0.38695811705422334,-0.3614175656886582,-0.6861630492403497,-0.3151934410612955,-0.796596974434255,36,1980-11-21,1
4,0,-1.762524876766359,-0.3635190544995368,0.20337492915470123,-0.4041115532121877,0.827812713945962,36,1980-03-28,0
4,4,-0.9436742124537556,-0.36492004704012254,-0.41930165572183437,-0.3771078345263381,-0.14683309908216818,36,1980-07-11,0
6,0,-1.2507432115709824,-0.34530615147192234,-0.5082554535613395,-0.23664310129838745,-0.14683309908216818,36,1980-08-15,0
4,14,-1.0460305454928316,-0.36492004704012254,-0.19691716112307164,-0.3151934410612955,-0.4717150367582116,17,1981-03-13,0
1,1,-1.3530995446100573,-0.3446056552016295,-0.6861630492403497,-0.24733631748104712,-0.3092740679201899,36,1980-06-25,0
4,6,0.38695811705422334,-0.36842252839158685,-0.6861630492403497,-0.2882177163564308,0.9361066931713098,36,1980-12-03,1
6,4,-0.8413178794146807,-0.3756026151620887,-0.6861630492403497,-0.3151934410612955,-0.796596974434255,0,1981-02-05,0
4,6,-0.02246721510207831,-0.37192500974305115,-0.6861630492403497,-0.2493713103049002,0.7195187347206142,36,1980-07-18,1
4,6,1.0010961152886748,-0.3621180619589511,-0.6861630492403497,-0.4025033749914153,-0.14683309908216818,36,1980-09-26,2
4,4,-0.02246721510207831,-0.36772203212129395,-0.6861630492403497,-0.36128282165797054,-0.6883029952089071,36,1980-02-01,1
4,4,1.8199467796012774,-0.29767240509200765,-0.6461338402125724,-0.3151934410612955,2.398075412713505,31,1980-02-11,2
4,4,-1.2507432115709824,-0.36772203212129395,-0.6861630492403497,-0.3277581572897982,-0.3092740679201899,36,1980-08-08,0
6,4,0.28460178401514746,-0.37532241665397154,-0.6861630492403497,-0.336860595129717,-1.0673319224976245,36,1980-03-28,1
4,4,-0.32953621421930407,-0.3712245134727583,-0.6861630492403497,-0.27008019362218855,-0.4175680471455377,36,1980-02-08,0
4,4,-1.660168543727283,-0.3691230246618797,-0.6861630492403497,-0.28967289678891717,-0.14683309908216818,36,1980-06-13,0
1,2,1.0010961152886748,-0.3614175656886582,-0.6861630492403497,-0.4233923250211678,-1.6629488082370374,36,1980-05-30,2
4,4,-0.8413178794146807,-0.3749721685188251,-0.6861630492403497,-0.38813200079418964,-0.4717150367582116,36,1980-09-26,0
4,4,-1.1483868785319065,-0.3740264985539297,-0.6861630492403497,-0.3990195339691696,0.015607869755853522,36,1980-06-13,0
6,4,-0.8413178794146807,-0.377634054345938,-0.6861630492403497,-0.4225805656480924,0.34048980743189694,36,1980-01-18,0
1,1,-0.5342488802974549,-0.37262550601334404,-0.41930165572183437,-0.3244243847092838,-0.4717150367582116,36,1980-06-25,0
4,4,-0.02246721510207831,-0.37192500974305115,-0.6861630492403497,-0.3759479344290789,-0.14683309908216818,36,1980-03-21,1
6,4,-0.43189254725837906,-0.37882489800543584,-0.44154010518171066,-0.39710741952447837,0.5029307762699187,36,1980-08-15,0
6,6,1.1034524483277508,-0.37262550601334404,-0.6861630492403497,-0.44435415631219405,-0.5800090159835594,35,1986-02-14,2
4,1,0.5916707831323742,-0.3747269948242226,-0.552732352481092,-0.3151934410612955,0.12390184898120132,33,1983-11-18,2
6,6,-2.3766628750008105,-0.3779072478913522,-0.45933086474961166,-0.4449111946859853,-0.6341560055962333,36,1980-09-09,0
6,6,-1.5578122106882082,-0.3772277665091681,-0.6861630492403497,-0.4221236536610496,-0.5258620263708855,36,1980-01-18,0
4,4,-1.1483868785319065,-0.3792732156184233,-0.6861630492403497,-0.41465421639955063,-0.4717150367582116,36,1980-10-24,0
3,2,1.6152341135231274,-0.3481081365530938,-0.6861630492403497,-0.44371870836145066,-1.2297728913356463,9,1980-03-19,2
4,4,-1.1483868785319065,-0.3670215358510011,-0.6861630492403497,-0.285833250286089,-0.6341560055962333,36,1980-10-03,0
